cow,vol_udder,vol_lf,vol_rf,vol_lb,vol_rb,sarea_udder,sarea_lf,sarea_rf,sarea_lb,sarea_rb,eu_front,eu_back,eu_right,eu_left,gd_front,gd_back,gd_right,gd_left,peri_udder,area_udder,circ_udder,exc_udder,peri_lf,area_lf,circ_lf,exc_lf,peri_rf,area_rf,circ_rf,exc_rf,peri_lb,area_lb,circ_lb,exc_lb,peri_rb,area_rb,circ_rb,exc_rb,len_lf,len_rf,len_lb,len_rb,animal_number,min_date,max_date,count_date,min_dim,max_dim,lactation,milk_flow_duration_mean,yield_visit_mean,yield_lf_visit_mean,yield_lr_visit_mean,yield_rr_visit_mean,yield_rf_visit_mean,peak_flow_rf_mean,peak_flow_lf_mean,peak_flow_rr_mean,peak_flow_lr_mean,notmilk_visit_duration_mean,notmilk_visit_duration_std,interval_sec_mean,kickoff_lf_sum,kickoff_lr_sum,kickoff_rf_sum,kickoff_rr_sum,kickoff_front_sum,kickoff_back_sum,kickoff_any_sum,total_yield,total_visits,kickoff_lf_perc,kickoff_lr_perc,kickoff_rf_perc,kickoff_rr_perc,kickoff_front_perc,kickoff_back_perc,kickoff_any_perc,yield_lf_visit_sum,yield_lr_visit_sum,yield_rr_visit_sum,yield_rf_visit_sum,interval_visit_mean
962,,5.573957541887206,4.085820276402695,1.1114116428574283,1.092560294833564,,,804.5705321533461,,,17.81899546480697,,19.782035178265044,21.64846066170968,33.57345374640323,,,29.70357006484138,,,0.7747024483411966,0.5963755089260108,852.4173516239526,,0.69746011405273,0.6393726931073498,621.3574311003805,22633.0,0.7364511621625883,0.7597342027347302,542.5107140124046,15590.0,0.6643836185118361,,505.2741699796952,12677.0,0.6235820375688348,0.7222363281825958,42.45733244970958,,37.86215491334518,,962,2023-07-22,2024-07-05,355,0.0,349.0,4,337.5449844881076,16.198779731127196,3.2618510858324714,5.471944157187177,4.907807652533609,2.55717683557394,1.5255015511892451,1.5050879007238884,1.4912512926577042,1.6773940020682525,95.11271975180972,26.14754903317101,30473.68665977249,16,3,3,2,19,4,7,15746.16,975,1.641025641025641,0.3076923076923077,0.3076923076923077,0.2051282051282051,1.948717948717949,0.4102564102564102,0.717948717948718,3175.66,5307.6,4774.74,2488.16,30466.20923076923
1023,5.71478345746605,1.621161904286881,1.6999280746746497,1.0399279237305148,0.9185184466962032,1950.0882188323585,590.2414754879745,618.2521601280478,416.5172867456369,402.92971799759954,17.495512389638932,7.698302997872322,24.10803913562395,24.84622095816886,28.64552057449493,15.524940001808584,25.09615224441089,25.734496954674825,1004.38181771802,63911.0,0.7941578568742836,0.5876525285966997,527.3208511739211,16527.0,0.7492618138444672,0.6323527359062887,569.5756851698602,19119.0,0.7423722898661563,0.67467262596326,508.048773235279,14489.0,0.7043066244200418,0.6629297396322987,505.469083452062,13280.0,0.6548864219593112,0.5773820304935847,48.38712135075683,44.50049484184829,36.84477649421559,37.68154813458375,1023,2023-07-23,2023-11-17,123,0.0,117.0,4,401.8475073313783,19.65683284457478,4.840791788856305,4.785806451612904,5.084281524926686,4.945953079178885,1.322991202346041,1.8040469208211145,1.635659824046921,1.6836950146627565,98.73900293255132,26.229517009131985,28554.876832844573,0,1,0,1,0,1,1,6749.36,346,0.0,0.2890173410404624,0.0,0.2890173410404624,0.0,0.2890173410404624,0.2890173410404624,1666.72,1636.48,1743.94,1702.22,28775.03179190752
1061,8.568867840547767,3.3976858128382337,3.2028581191249583,0.7279018409338214,,2408.8638323787795,851.6362227615297,834.2170049938295,294.6345553617055,,13.27011098503577,7.943372545231877,15.75677177759506,13.268326623672522,25.27730337774826,15.37649098932368,21.65722420943739,17.90863325302403,1057.7615433949868,75677.0,,,713.7066735052979,25813.0,,0.6290438876099778,636.3929650063131,22520.0,0.7022119080157484,0.6035929542631274,458.5584412271571,9627.0,0.595592487174881,0.5786749828218534,,,,,38.25734973566109,49.5397394170046,25.44304017358624,,1061,2023-02-06,2023-11-17,290,0.0,284.0,3,423.3396464646465,18.463674242424243,5.435555555555555,,7.111085858585858,5.917032828282828,2.01689393939394,1.623409090909091,1.6337878787878788,,71.58459595959596,25.81188223109452,30429.141414141413,1,0,0,1,1,1,1,14650.23,796,0.1256281407035175,0.0,0.0,0.1256281407035175,0.1256281407035175,0.1256281407035175,0.1256281407035175,4306.97,0.0,5646.94,4696.32,30406.45351758794
1074,8.226312229891251,3.949913653458976,1.996374416633472,1.375643035493214,0.793431656848649,2117.6607016158164,1062.524430198065,,461.61076489256897,278.7098577981656,17.57360149849605,7.500773437798092,21.45402473258762,19.28032675843676,27.28108357975338,16.8647589745094,21.605180793980104,28.33403245255409,1028.2640687119283,67788.0,0.8065857930735808,0.6800792854026935,687.8366158202092,28806.0,0.7662431664749897,0.6095496209599829,564.2264427649427,15961.0,0.6382355832659058,0.8589012148732651,475.3807716974934,11705.0,0.655056670506862,0.5488491866837156,489.8477631085024,10742.0,0.5650889686978485,0.8560982229817673,44.53672367606391,,,,1074,2023-04-09,2024-04-09,374,0.0,366.0,3,302.59771126760563,16.9331426056338,3.3285827464788733,5.235528169014085,5.455202464788732,2.9138292253521128,1.7904929577464788,2.044119718309859,1.810352112676056,2.011109154929577,141.01144366197184,47.00146076305648,27162.399647887323,2,4,2,4,3,6,7,19316.64,1144,0.1748251748251748,0.3496503496503496,0.1748251748251748,0.3496503496503496,0.2622377622377622,0.5244755244755245,0.6118881118881119,3802.15,5968.17,6219.16,3327.16,27177.992132867133
1081,9.478594789784337,4.8004541639296985,3.181683452484661,0.8290212297487819,0.5933647354680847,2463.0798437386006,787.6250147083648,783.3901594937788,551.8267801388976,337.9215195438238,13.147271882764974,7.400913635264519,18.36429222687928,19.71520068322834,27.78946178662928,15.94029328165476,22.67958081191103,27.26245967021727,1173.8031739553294,83867.0,0.7630478030296478,0.5816698905147472,754.541197284454,32392.0,0.7140692185690887,0.7294858007135578,702.97875144394,26819.0,0.683042370688593,0.8040351792724539,470.57568516986026,13561.0,0.7651935002000329,0.4349319180922186,431.7411613907042,10606.0,0.7186332511011537,0.6822706735737544,,50.10124418702952,45.33573915854256,40.27209617616273,1081,2023-03-04,2024-02-17,356,0.0,350.0,3,349.9055944055944,21.09734265734265,4.955955710955711,5.577261072261072,5.358216783216784,5.205909090909091,1.7986713286713287,1.7585314685314684,1.8344755244755244,1.4682517482517483,94.2902097902098,25.38429805648721,34609.75874125874,0,0,0,0,0,0,0,18163.72,864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4266.76,4794.01,4617.52,4485.43,34578.25462962963
1084,6.723700716846214,2.215566381630321,2.372781229628752,0.8781321192171195,0.7843984869007803,1906.1535932255952,656.9575509429052,574.1090958023414,416.1194196022633,271.70275223954235,13.039555792189752,7.455973219274639,20.99698754931575,14.871327080090785,21.87414107179972,12.600173640474786,22.60399160314605,20.107085085141293,1014.4858941188764,61709.5,0.7552906324607576,0.6898772032138323,582.250306372319,20421.5,0.7573101973949605,0.6926897568178663,566.2711216524904,18232.0,0.7146630755565946,0.8250253012253588,476.9838020778234,13486.0,0.7518651121536003,0.6516041006256426,414.6848122046001,9039.0,0.6618816621101702,0.7577535024794977,31.30932372655741,44.28290626536286,34.84333630870936,26.45985062546212,1084,2023-06-20,2024-04-09,300,0.0,294.0,3,314.66840052015607,17.721716514954487,3.987152145643693,5.02334200260078,5.019674902470741,3.691547464239272,1.552665799739922,1.8353446033810144,1.6549544863459038,1.727438231469441,98.85565669700912,25.73677294518466,32219.26788036411,0,1,1,5,1,6,7,13747.14,777,0.0,0.1287001287001287,0.1287001287001287,0.6435006435006435,0.1287001287001287,0.7722007722007722,0.9009009009009008,3077.1,3904.32,3897.34,2868.38,32296.14671814672
1089,8.459232116702184,3.4383739414655925,2.7781520414446605,0.9244405701427107,0.925373256638332,2170.740877627175,810.3783384545924,692.766176317715,320.67477445448344,381.5271014210228,14.288840195874949,6.474104351223612,18.749517563729064,16.67618625376405,29.97729313285592,13.881111714944597,22.41660726875196,22.65756458076825,1053.134126397017,71133.0,0.8065152968147613,0.6197077703524547,663.6711395993651,26611.0,0.756198369889961,0.7259096095242145,593.4751801064718,20625.0,0.7340389313564458,0.7442240663423341,436.63455967290594,10408.0,0.6852145283694633,0.6054758892138983,499.6406563273158,12939.0,0.6544370630341859,0.7146227925742864,48.85984787984727,51.98251148507871,36.927979705707,32.74114956148908,1089,2023-04-30,2024-05-28,403,0.0,394.0,3,270.36933461909354,18.70712632594021,4.152150433944069,4.903182256509162,5.321427193828351,4.330366441658631,2.1621407907425265,2.1160270009643205,1.9313404050144647,2.022873674059788,97.152362584378,25.822529273126133,32246.799421407908,1,0,1,0,2,0,1,19468.33,1047,0.0955109837631327,0.0,0.0955109837631327,0.0,0.1910219675262655,0.0,0.0955109837631327,4321.78,5102.4,5538.69,4505.46,32156.46800382044
1098,7.619284320248025,3.1019538402640365,2.6423369057670727,0.8069935715027073,0.6082336700334248,2303.3847181989463,814.8832193735107,665.7525328593423,417.81981858272985,355.85510808329724,19.326862114244577,5.032730056011018,24.50293646230408,,31.67137624494584,14.640972136893945,26.25439694902288,28.56479882019034,,,,,722.7777413171634,31916.0,0.7699305138175974,0.5971899068482119,702.8843430349616,29244.0,0.7411399391830751,0.6829993485768852,527.2031021678298,15996.0,0.7347208647535293,0.584576456140091,512.0315292925759,13348.0,0.6381118568008433,0.6316454065819257,42.89385071952725,42.6787865210736,45.682466493949136,41.13237844839384,1098,2023-03-10,2024-02-17,351,0.0,344.0,3,329.65749235474004,18.067339449541286,3.430397553516819,4.557971457696228,4.621692150866463,5.457278287461774,2.068134556574924,1.689724770642202,1.5426299694189602,1.4636085626911317,96.70336391437309,25.730881130940187,29428.092762487257,1,6,0,6,1,11,11,17873.32,997,0.1003009027081243,0.6018054162487462,0.0,0.6018054162487462,0.1003009027081243,1.103309929789368,1.103309929789368,3396.82,4517.23,4570.04,5389.23,29365.65295887663
1100,7.6045362160295396,3.4003408943587665,2.871732798776601,0.6579431362450074,0.546071448962019,2037.443215482186,766.4557040374784,621.6320003896682,384.3062837552805,274.95044551965486,13.89906635926004,,23.946778497040267,21.3448935794914,24.11102419446749,,25.578766740412856,22.383107682991145,1154.3473298326137,71696.0,,0.6659661497476412,708.1980515339465,29861.0,0.733205438982397,0.731493387360985,644.2091988222396,20205.0,0.6026928024073976,0.8984926553798981,526.7594513539337,13707.0,0.630051103298726,0.4601768022479067,368.56958851545033,7411.0,0.7037872137545356,0.7503781068636,30.696688926704663,,39.03419754899098,25.754763307288968,1100,2023-02-06,2024-01-24,360,0.0,352.0,3,351.9845132743363,19.71015486725664,4.056714601769912,6.029347345132743,5.533506637168141,4.09058628318584,1.4925,1.3575000000000002,1.7283185840707966,1.7094690265486727,94.16592920353982,26.31050450711891,33179.89380530974,0,3,1,1,1,4,5,17829.52,905,0.0,0.3314917127071823,0.1104972375690607,0.1104972375690607,0.1104972375690607,0.4419889502762431,0.5524861878453038,3670.75,5450.53,5006.8,3701.44,33177.967955801105
1102,8.658630891960433,4.072827894359751,2.6187533975060635,0.6852380575008675,0.6458548233889201,2339.550023049389,876.0386792211342,782.9963522294993,298.43834251555046,365.7810273759844,15.880683758287104,5.690712152384784,16.860539384302626,17.802492307286755,27.38457727351863,13.907078067505344,22.35813123566996,22.55784534025234,,,0.7498494481757545,0.6396588245213113,826.0559159102154,,0.7015863513707813,0.79125178239043,669.2985565973348,24009.0,0.6873059440668603,0.7860964457818915,439.2203461105328,10287.0,0.674379355542861,0.5421889677323332,489.9898987322333,12526.0,0.6510570130283141,0.7973994130563553,54.18040855440474,,37.16011683663263,35.985604428482695,1102,2023-04-19,2024-02-17,308,0.0,304.0,3,283.41291108404386,18.28143727161997,5.051693057247259,4.3111449451887935,4.793714981729598,4.124884287454324,1.924969549330085,1.937904993909866,1.7213641900121803,1.6713763702801463,95.66138855054812,25.671087134263352,31435.80998781973,1,5,0,2,1,6,6,15076.35,826,0.1210653753026634,0.6053268765133172,0.0,0.2421307506053268,0.1210653753026634,0.7263922518159807,0.7263922518159807,4171.09,3554.22,3952.74,3398.3,31439.40799031477
