cow,filename,date,computer,group,fold_group,set_name
1003,1003_20231117_163646_frame_118,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_121,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_137,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_143,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_149,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_15,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_159,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_163,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_185,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_187,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_201,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_204,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_21,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_216,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_221,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_223,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_237,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_238,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_25,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_251,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_26,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_261,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_267,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_271,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_34,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_42,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_51,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_69,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_70,20231117,guilherme,C,1,train
1003,1003_20231117_163646_frame_83,20231117,guilherme,C,1,train
1116,1116_20231117_141845_frame_132,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_1540,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_155,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_1593,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_166,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_18,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_219,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_235,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_239,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_24,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_263,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_264,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_266,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_271,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_351,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_38,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_40,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_47,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_50,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_772,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_776,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_784,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_791,20231117,maria,D,1,train
1116,1116_20231117_141845_frame_797,20231117,maria,D,1,train
